date,windturbines_mw
2012-11-22,191928.0
2012-11-23,187835.0
2012-11-24,41918.0
2012-11-25,437681.0
2012-11-26,241884.0
2012-11-27,67222.0
2012-11-28,45311.0
2012-11-29,375395.0
2012-11-30,153671.0
2012-12-01,774294.0
2012-12-02,108942.0
2012-12-03,400829.0
2012-12-04,31369.0
2012-12-05,457200.0
2012-12-06,33051.0
2012-12-07,260475.0
2012-12-08,84673.0
2012-12-09,70587.0
2012-12-10,189434.0
2012-12-11,125202.0
2012-12-12,70960.0
2012-12-13,80449.0
2012-12-14,258038.0
2012-12-15,306444.0
2012-12-16,164764.0
2012-12-17,47425.0
2012-12-18,24219.0
2012-12-19,12680.0
2012-12-20,160487.0
2012-12-21,155550.0
2012-12-22,123951.0
2012-12-23,312442.0
2012-12-24,328967.0
2012-12-25,544605.0
2012-12-26,519274.0
2012-12-27,522850.0
2012-12-28,200567.0
2012-12-29,420844.0
2012-12-30,604811.0
2012-12-31,659237.0
2013-01-01,488985.0
2013-01-02,404620.0
2013-01-03,199476.0
2013-01-04,68686.0
2013-01-05,83074.0
2013-01-06,339189.0
2013-01-07,166639.0
2013-01-08,39036.0
2013-01-09,319967.0
2013-01-10,205792.0
2013-01-11,291509.0
2013-01-12,458009.0
2013-01-13,40283.0
2013-01-14,69978.0
2013-01-15,21338.0
2013-01-16,25722.0
2013-01-17,99949.0
2013-01-18,120910.0
2013-01-19,154881.0
2013-01-20,143250.0
2013-01-21,281555.0
2013-01-22,64052.0
2013-01-23,8809.0
2013-01-24,16521.0
2013-01-25,40700.0
2013-01-26,255194.0
2013-01-27,287309.0
2013-01-28,287045.0
2013-01-29,551166.0
2013-01-30,702845.0
2013-01-31,844970.0
2013-02-01,416752.0
2013-02-02,263275.0
2013-02-03,225118.0
2013-02-04,135352.0
2013-02-05,93299.0
2013-02-06,658672.0
2013-02-07,48987.0
2013-02-08,103348.0
2013-02-09,652406.0
2013-02-10,218311.0
2013-02-11,236690.0
2013-02-12,58478.0
2013-02-13,19005.0
2013-02-14,61882.0
2013-02-15,42432.0
2013-02-16,5495.0
2013-02-17,2315.0
2013-02-18,56066.0
2013-02-19,341598.0
2013-02-20,263848.0
2013-02-21,107867.0
2013-02-22,212490.0
2013-02-23,405664.0
2013-02-24,141823.0
2013-02-25,141435.0
2013-02-26,63074.0
2013-02-27,9595.0
2013-02-28,125283.0
2013-03-01,723848.0
2013-03-02,304893.0
2013-03-03,278210.0
2013-03-04,239759.0
2013-03-05,72764.0
2013-03-06,402391.0
2013-03-07,152669.0
2013-03-08,161362.0
2013-03-09,251226.0
2013-03-10,432023.0
2013-03-11,471026.0
2013-03-12,78892.0
2013-03-13,10036.0
2013-03-14,15607.0
2013-03-15,22482.0
2013-03-16,266356.0
2013-03-17,608132.0
2013-03-18,406046.0
2013-03-19,127455.0
2013-03-20,63941.0
2013-03-21,68274.0
2013-03-22,200585.0
2013-03-23,494808.0
2013-03-24,425101.0
2013-03-25,532337.0
2013-03-26,381315.0
2013-03-27,311232.0
2013-03-28,164054.0
2013-03-29,89778.0
2013-03-30,29055.0
2013-03-31,69280.0
2013-04-01,631596.0
2013-04-02,514931.0
2013-04-03,77925.0
2013-04-04,129642.0
2013-04-05,44055.0
2013-04-06,184077.0
2013-04-07,42353.0
2013-04-08,48456.0
2013-04-09,15632.0
2013-04-10,434442.0
2013-04-11,719498.0
2013-04-12,392000.0
2013-04-13,401638.0
2013-04-14,105636.0
2013-04-15,278303.0
2013-04-16,66951.0
2013-04-17,75673.0
2013-04-18,423210.0
2013-04-19,233046.0
2013-04-20,117254.0
2013-04-21,180687.0
2013-04-22,60869.0
2013-04-23,342407.0
2013-04-24,132599.0
2013-04-25,84171.0
2013-04-26,208557.0
2013-04-27,135870.0
2013-04-28,55275.0
2013-04-29,208849.0
2013-04-30,75941.0
2013-05-01,226943.0
2013-05-02,523957.0
2013-05-03,176696.0
2013-05-04,77296.0
2013-05-05,54696.0
2013-05-06,61410.0
2013-05-07,39227.0
2013-05-08,65047.0
2013-05-09,115358.0
2013-05-10,90699.0
2013-05-11,318731.0
2013-05-12,802276.0
2013-05-13,215064.0
2013-05-14,153789.0
2013-05-15,317973.0
2013-05-16,228473.0
2013-05-17,218128.0
2013-05-18,178593.0
